eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
PS1992029,ps1992-ph,1903,12,28,2,56,0.0,nan,127.0,7.0,nan,nan,nan,60.0,nan,7.0,nan,
610548604,ISC-GEM,1905,5,31,18,23,32.0,nan,120.203,18.895,132.9,24.9,nan,15.0,5.0,6.8,0.46,
610548621,ISC-GEM,1905,12,10,18,9,58.0,nan,125.858,13.445,32.0,18.4,nan,15.0,6.3,6.8,0.2,
16957908,ISC-GEM,1906,6,19,11,22,36.0,nan,122.582,19.008,28.0,15.4,nan,15.0,25.0,7.09,0.3,
610548667,ISC-GEM,1906,10,29,1,15,53.0,nan,128.202,0.185,49.7,16.8,nan,15.0,25.0,6.35,0.31,
16957953,ISC-GEM,1907,4,18,20,59,53.0,nan,122.72,14.39,23.2,14.4,nan,15.0,25.0,7.52,0.56,
610548684,ISC-GEM,1907,5,25,11,50,28.0,nan,119.791,-0.595,21.5,15.2,nan,35.0,19.8,6.39,0.2,
610548686,ISC-GEM,1907,6,24,3,36,12.0,nan,118.921,1.948,35.9,13.7,nan,35.0,25.0,6.31,0.39,
16957967,ISC-GEM,1907,7,9,18,54,58.0,nan,121.796,15.152,40.5,15.7,nan,15.0,10.6,6.82,0.48,
16957968,ISC-GEM,1907,7,20,13,38,22.0,nan,126.188,8.316,39.2,16.8,nan,35.0,26.6,7.06,0.22,
610326336,ISC-GEM,1907,11,24,13,58,37.0,nan,122.541,13.359,29.6,16.3,nan,15.0,3.8,6.59,0.23,
16957992,ISC-GEM,1908,5,5,6,17,47.0,nan,125.487,0.513,20.4,15.0,nan,35.0,13.2,7.26,0.23,
16958027,ISC-GEM,1909,4,25,22,35,50.0,nan,127.123,3.117,34.3,13.4,nan,35.0,14.2,6.5,0.29,
16958104,ISC-GEM,1910,9,1,0,44,29.0,nan,121.617,20.741,59.9,17.3,nan,15.0,14.7,6.99,0.29,
16958127,ISC-GEM,1910,12,16,14,44,55.0,nan,126.017,4.668,28.0,11.9,nan,15.0,43.9,7.61,0.2,
